Player_Id,Player_Name,DOB,Batting_hand,Bowling_skill,Country_Name
1,SC Ganguly,7/8/1972,1,1,1
2,BB McCullum,9/27/1981,2,1,4
3,RT Ponting,12/19/1974,2,1,5
4,DJ Hussey,7/15/1977,2,2,5
5,Mohammad Hafeez,10/17/1980,2,2,6
6,R Dravid,1/11/1973,2,2,1
7,W Jaffer,2/16/1978,2,2,1
8,V Kohli,11/5/1988,2,1,1
9,JH Kallis,10/16/1975,2,3,2
10,CL White,8/18/1983,2,4,5
11,MV Boucher,12/3/1976,2,1,2
12,B Akhil,10/7/1977,2,5,1
13,AA Noffke,4/30/1977,2,3,5
14,P Kumar,10/2/1986,2,1,1
15,Z Khan,10/7/1978,2,6,1
16,SB Joshi,6/6/1970,1,7,1
17,PA Patel,3/9/1985,1,,1
18,ML Hayden,10/29/1971,1,1,5
19,MEK Hussey,5/27/1975,1,1,5
20,MS Dhoni,7/7/1981,2,1,1
21,SK Raina,11/27/1986,1,2,1
22,JDP Oram,7/28/1978,1,3,4
23,S Badrinath,8/30/1980,2,2,1
24,K Goel,12/24/1986,1,2,1
25,JR Hopes,10/24/1978,2,1,5
26,KC Sangakkara,10/27/1977,1,2,7
27,Yuvraj Singh,12/12/1981,1,7,1
28,SM Katich,8/21/1975,1,8,5
29,IK Pathan,10/27/1984,1,9,1
30,T Kohli,12/17/1988,2,1,1
31,YK Pathan,11/17/1982,2,2,1
32,SR Watson,6/17/1981,2,3,5
33,M Kaif,12/1/1980,2,2,1
34,DS Lehmann,2/5/1970,1,7,5
35,RA Jadeja,12/6/1988,1,7,1
36,M Rawat,10/25/1985,2,,1
37,D Salunkhe,11/12/1982,2,10,1
38,SK Warne,9/13/1969,2,4,5
39,SK Trivedi,9/4/1982,2,1,1
40,G Gambhir,10/14/1981,1,10,1
41,V Sehwag,10/20/1978,2,2,1
42,S Dhawan,12/5/1985,1,2,1
43,L Ronchi,4/23/1981,2,,5
44,ST Jayasuriya,6/30/1969,1,7,7
45,DJ Thornely,10/1/1978,2,1,5
46,RV Uthappa,11/11/1985,2,1,1
47,PR Shah,11/3/1987,2,,1
48,AM Nayar,10/8/1983,1,1,1
49,SM Pollock,7/16/1973,2,3,2
50,Harbhajan Singh,7/3/1980,2,2,1
51,S Chanderpaul,8/16/1974,1,10,8
52,LRPL Taylor,3/8/1984,2,2,4
53,AC Gilchrist,11/14/1971,1,2,5
54,Y Venugopal Rao,2/26/1982,2,2,1
55,VVS Laxman,11/1/1974,2,2,1
56,A Symonds,6/9/1975,2,2,5
57,RG Sharma,4/30/1987,2,2,1
58,SB Styris,7/10/1975,2,1,4
59,SB Bangar,10/11/1972,2,5,1
60,WPUJC Vaas,1/27/1974,1,6,7
61,RP Singh,12/6/1985,2,6,1
62,WP Saha,10/24/1984,2,,1
63,LR Shukla,5/6/1981,2,1,1
64,DPMD Jayawardene,5/27/1977,2,1,7
65,S Sohal,11/10/1987,2,10,1
66,B Lee,11/8/1976,2,11,5
67,PP Chawla,12/24/1988,1,10,1
68,WA Mota,9/20/1981,2,1,1
69,Kamran Akmal,1/13/1982,2,,6
70,Shahid Afridi,3/1/1980,2,4,6
71,DJ Bravo,10/7/1983,2,5,8
72,MA Khote,4/22/1980,2,1,1
73,A Nehra,4/29/1979,2,9,1
74,GC Smith,2/1/1981,1,2,2
75,Pankaj Singh,5/6/1985,2,5,1
76,RR Sarwan,6/23/1980,2,10,8
77,S Sreesanth,2/6/1983,2,3,1
78,VRV Singh,9/17/1984,2,5,1
79,SS Tiwary,12/30/1989,1,,1
80,DS Kulkarni,12/10/1988,2,1,1
81,R Vinay Kumar,2/12/1984,2,1,1
82,AB Agarkar,12/4/1977,2,11,1
83,M Kartik,9/11/1976,1,7,1
84,I Sharma,9/2/1988,2,3,1
85,AM Rahane,6/6/1988,2,1,1
86,Shoaib Malik,2/1/1982,2,2,6
87,MK Tiwary,11/14/1985,2,4,1
88,KD Karthik,6/1/1985,2,,1
89,R Bhatia,10/22/1979,2,5,1
90,MF Maharoof,9/7/1984,2,3,1
91,VY Mahesh,12/21/1987,2,5,1
92,TM Srivastava,11/7/1989,1,1,1
93,B Chipli,1/27/1983,2,1,1
94,DW Steyn,6/27/1983,2,11,2
95,DB Das,9/22/1986,2,4,1
96,MK Pandey,9/10/1989,2,1,1
97,HH Gibbs,2/23/1974,2,12,2
98,DNT Zoysa,5/13/1978,1,6,7
99,D Kalyankrishna,12/16/1983,2,5,1
100,SE Marsh,7/9/1983,1,7,5
101,SA Asnodkar,3/29/1984,2,2,1
102,Sohail Tanvir,12/12/1984,1,9,6
103,Salman Butt,10/7/1984,1,2,6
104,BJ Hodge,12/29/1974,2,2,5
105,Umar Gul,4/14/1984,2,3,6
106,AB Dinda,3/25/1984,2,5,1
107,SP Fleming,4/1/1973,1,,4
108,S Vidyut,12/3/1981,1,7,1
109,JA Morkel,6/10/1981,1,5,2
110,AB de Villiers,2/17/1984,2,1,2
111,LPC Silva,12/14/1979,2,10,7
112,DB Ravi Teja,9/5/1987,2,4,1
113,Misbah-ul-Haq,5/28/1974,2,10,6
114,YV Takawale,11/5/1984,2,,1
115,RR Raje,9/3/1986,2,3,1
116,PJ Sangwan,11/5/1990,2,13,1
117,Mohammad Asif,12/20/1982,1,3,6
118,GD McGrath,2/9/1970,2,3,5
119,Joginder Sharma,10/23/1983,2,3,1
120,MS Gony,1/4/1984,2,1,1
121,M Muralitharan,4/17/1972,2,2,7
122,M Ntini,7/6/1977,2,11,2
123,DT Patil,12/6/1984,2,,1
124,A Kumble,10/17/1970,2,4,1
125,S Anirudha,4/14/1987,2,,1
126,MM Patel,7/12/1983,2,5,1
127,CK Kapugedera,2/24/1987,2,1,7
128,A Chopra,9/19/1977,2,2,1
129,T Taibu,5/14/1983,2,1,9
130,J Arunkumar,1/18/1975,2,2,1
131,PP Ojha,9/5/1986,1,7,1
132,SP Goswami,5/18/1989,1,,1
133,SR Tendulkar,4/24/1973,2,2,1
134,U Kaul,12/2/1987,1,,1
135,TM Dilshan,10/14/1976,2,2,7
136,A Mishra,11/24/1982,2,10,1
137,AD Mascarenhas,10/30/1977,2,3,10
138,NK Patel,3/26/1981,1,,1
139,LA Pomersbach,9/28/1984,1,2,5
140,Iqbal Abdulla,12/2/1989,1,7,1
141,Younis Khan,11/29/1977,2,1,6
142,PM Sarvesh Kumar,4/26/1989,2,1,1
143,DP Vijaykumar,10/20/1986,2,1,1
144,Shoaib Akhtar,8/13/1975,2,11,6
145,Abdur Razzak,6/15/1982,1,7,11
146,H Das,12/10/1986,2,,1
147,DR Smith,4/12/1983,2,1,8
148,SD Chitnis,5/6/1987,2,2,1
149,CRD Fernando,7/19/1979,2,3,7
150,VS Yeligati,4/23/1985,2,2,1
151,L Balaji,9/27/1981,2,5,1
152,A Mukund,1/6/1990,1,4,1
153,RR Powar,5/20/1978,2,2,1
154,JP Duminy,4/14/1984,1,2,2
155,A Flintoff,12/6/1977,2,3,10
156,T Thushara,3/1/1981,1,6,7
157,JD Ryder,8/6/1984,1,1,4
158,KP Pietersen,6/27/1980,2,2,2
159,T Henderson,8/1/1974,2,3,2
160,Kamran Khan,3/10/1991,1,9,1
161,RS Bopara,5/4/1985,2,1,10
162,CH Gayle,9/21/1979,1,2,8
163,MC Henriques,2/1/1987,2,3,5
164,R Bishnoi,10/8/1987,2,5,1
165,FH Edwards,2/6/1982,2,11,8
166,KV Sharma,10/23/1987,1,4,1
167,PC Valthaty,12/7/1983,2,1,1
168,RJ Quiney,8/20/1982,1,1,5
169,AS Raut,3/3/1987,2,4,1
170,Yashpal Singh,11/27/1981,2,1,1
171,M Manhas,10/12/1979,2,2,1
172,AA Bilakhia,5/31/1986,2,1,1
173,AN Ghosh,10/19/1986,2,1,1
174,BAW Mendis,3/11/1985,2,2,7
175,DL Vettori,1/27/1979,1,7,4
176,MN van Wyk,3/20/1979,2,7,2
177,RE van der Merwe,12/31/1984,2,7,2
178,TL Suman,12/15/1983,2,2,1
179,Shoaib Ahmed,8/17/1990,2,3,6
180,GR Napier,1/6/1980,2,1,10
181,KP Appanna,12/20/1988,2,7,1
182,LA Carseldine,11/17/1975,1,13,5
183,NV Ojha,7/20/1983,2,,1
184,SM Harwood,3/1/1974,2,3,5
185,M Vijay,4/1/1984,2,2,1
186,SB Jakati,11/27/1980,1,7,1
187,DA Warner,10/27/1986,1,10,5
188,RJ Harris,10/11/1979,2,11,5
189,D du Preez,11/8/1981,2,3,2
190,M Morkel,10/6/1984,1,11,2
191,AD Mathews,6/2/1987,2,3,7
192,J Botha,5/2/1982,2,2,2
193,C Nanda,3/29/1979,2,10,1
194,SL Malinga,8/28/1983,2,11,7
195,Mashrafe Mortaza,10/5/1983,2,3,11
196,A Singh,6/21/1981,2,5,1
197,GJ Bailey,9/7/1982,2,1,5
198,AB McDonald,6/5/1981,2,3,5
199,Y Nagar,1/6/1990,2,2,1
200,SS Shaikh,1/18/1987,2,1,1
201,R Ashwin,9/17/1986,2,2,1
202,Mohammad Ashraful,7/7/1984,2,2,11
203,CA Pujara,1/25/1988,2,10,1
204,OA Shah,10/22/1978,2,2,10
205,Anirudh Singh,8/2/1980,1,1,1
206,Jaskaran Singh,9/4/1989,2,1,1
207,AP Tare,11/7/1987,2,,1
208,AT Rayudu,9/23/1985,2,2,1
209,R Sathish,1/14/1981,2,1,1
210,R McLaren,2/9/1983,1,5,2
211,AA Jhunjhunwala,12/1/1982,2,2,1
212,P Dogra,11/19/1984,2,10,1
213,A Uniyal,11/21/1981,1,13,1
214,MS Bisla,12/27/1984,2,,1
215,YA Abdulla,1/17/1983,1,6,1
216,EJG Morgan,9/10/1986,1,1,10
217,JM Kemp,10/2/1977,2,3,2
218,S Tyagi,9/17/1987,2,1,1
219,RS Gavaskar,2/20/1976,1,7,1
220,SE Bond,6/7/1975,2,11,4
221,KA Pollard,5/12/1987,2,5,8
222,S Ladda,7/10/1986,2,10,1
223,DP Nannes,5/16/1976,2,14,5
224,MJ Lumb,2/12/1980,1,1,10
225,DR Martyn,10/21/1971,2,1,5
226,S Narwal,4/16/1982,1,1,1
227,AB Barath,4/14/1990,2,2,1
228,Bipul Sharma,9/28/1983,1,7,1
229,FY Fazal,9/7/1985,1,1,1
230,AC Voges,10/4/1979,2,7,5
231,MD Mishra,2/9/1984,2,2,1
232,UT Yadav,10/25/1987,2,3,1
233,J Theron,7/24/1985,2,5,2
234,SJ Srivastava,9/22/1981,2,6,1
235,R Sharma,4/30/1987,2,2,1
236,Mandeep Singh,12/18/1991,2,1,1
237,KM Jadhav,3/26/1985,2,2,1
238,SW Tait,2/22/1983,2,11,5
239,KB Arun Karthik,2/15/1986,2,4,1
240,KAJ Roach,6/30/1988,2,11,8
241,PD Collingwood,5/26/1976,2,1,10
242,CK Langeveldt,12/17/1974,2,3,10
243,VS Malik,5/9/1983,2,1,1
244,A Mithun,10/25/1989,2,1,1
245,AP Dole,10/9/1987,2,5,1
246,AN Ahmed,11/5/1988,2,5,1
247,RS Sodhi,10/18/1980,2,1,1
248,DE Bollinger,7/24/1981,1,6,5
249,S Sriram,2/21/1976,1,7,1
250,B Sumanth,5/10/1988,2,5,1
251,C Madan,10/15/1982,2,,1
252,AG Paunikar,4/18/1988,2,,1
253,MR Marsh,10/20/1991,2,1,5
254,AJ Finch,11/17/1986,2,7,5
255,STR Binny,6/3/1984,2,1,1
256,Harmeet Singh,9/7/1992,1,7,1
257,IR Jaggi,1/27/1989,2,4,1
258,DT Christian,5/4/1983,2,3,5
259,RV Gomez,10/16/1985,2,1,1
260,MA Agarwal,2/16/1991,2,,1
261,AUK Pathan,6/17/1984,2,1,1
262,UBT Chand,3/26/1993,2,2,1
263,DJ Jacobs,11/4/1982,2,1,2
264,Sunny Singh,12/18/1986,2,5,1
265,NJ Rimmington,11/11/1982,2,3,5
266,AL Menaria,10/29/1990,1,7,1
267,WD Parnell,7/30/1989,1,9,2
268,JJ van der Wath,1/10/1978,2,5,2
269,R Ninan,11/19/1985,2,2,1
270,S Aravind,4/8/1984,1,9,1
271,MS Wade,12/26/1987,1,1,5
272,TD Paine,12/8/1984,2,1,5
273,SB Wagh,10/9/1988,1,9,1
274,AC Thomas,2/9/1977,2,3,10
275,JEC Franklin,11/7/1980,1,13,4
276,Shakib Al Hasan,3/24/1987,1,7,11
277,DH Yagnik,6/22/1983,1,,1
278,S Randiv,1/30/1985,2,2,7
279,BJ Haddin,10/23/1977,2,,5
280,NLTC Perera,4/3/1989,1,5,7
281,NL McCullum,9/1/1980,2,2,4
282,JE Taylor,6/22/1984,2,11,4
283,J Syed Mohammad,6/3/1983,1,7,1
284,RN ten Doeschate,6/30/1980,2,5,12
285,TR Birt,12/9/1981,1,1,5
286,AG Murtaza,1/1/1990,1,7,1
287,Harpreet Singh,8/11/1991,1,1,1
288,M Klinger,7/4/1980,2,,5
289,AC Blizzard,6/27/1984,1,13,5
290,I Malhotra,5/23/1984,2,5,1
291,L Ablish,12/3/1982,2,5,1
292,CA Ingram,7/3/1985,1,10,2
293,S Nadeem,8/12/1989,2,7,1
294,P Parameswaran,5/30/1985,2,13,1
295,CJ Ferguson,11/21/1984,2,1,5
296,VR Aaron,10/29/1989,2,11,1
297,AA Chavan,10/28/1985,1,7,1
298,ND Doshi,10/6/1978,2,7,1
299,B Kumar,2/5/1990,2,1,1
300,Y Gnaneswara Rao,8/25/1984,2,1,1
301,S Rana,9/18/1984,2,5,1
302,BA Bhatt,5/13/1990,1,7,1
303,F du Plessis,7/13/1984,2,10,2
304,RE Levi,1/14/1988,2,1,2
305,GJ Maxwell,10/14/1988,2,2,5
306,SPD Smith,6/2/1989,2,4,1
307,MN Samuels,2/5/1981,2,2,8
308,SA Yadav,9/14/1990,2,2,1
309,KK Cooper,2/16/1989,2,1,8
310,JP Faulkner,4/29/1990,2,6,5
311,HV Patel,11/23/1990,2,1,1
312,DAJ Bracewell,9/28/1990,2,3,4
313,DJ Harris,12/31/1979,2,1,5
314,Ankit Sharma,4/20/1991,1,7,1
315,SP Narine,5/26/1988,1,2,8
316,GB Hogg,2/6/1971,1,8,5
317,RR Bhatkal,9/1/1985,2,1,1
318,CJ McKay,2/20/1983,2,3,5
319,N Saini,10/28/1988,2,,1
320,DA Miller,6/10/1989,1,2,2
321,Azhar Mahmood,2/28/1975,2,3,6
322,P Negi,1/6/1993,1,7,1
323,RJ Peterson,8/4/1979,1,7,2
324,KMDN Kulasekara,7/22/1982,2,3,7
325,A Ashish Reddy,2/24/1991,2,1,1
326,V Pratap Singh,5/3/1992,2,1,1
327,BB Samantray,12/14/1988,2,,1
328,MJ Clarke,4/2/1981,2,7,5
329,Gurkeerat Singh,6/29/1990,2,2,1
330,AP Majumdar,4/30/1984,2,4,1
331,PA Reddy,2/11/1991,2,10,1
332,K Upadhyay,6/18/1986,2,1,1
333,P Awana,7/19/1986,2,1,1
334,AD Russell,4/29/1988,2,11,8
335,A Chandila,12/5/1983,2,2,1
336,CA Lynn,4/10/1990,2,7,5
337,Sunny Gupta,9/27/1988,2,2,1
338,MC Juneja,9/12/1990,2,2,1
339,KK Nair,12/6/1991,2,2,1
340,GH Vihari,10/13/1993,2,2,1
341,MDKJ Perera,8/17/1990,1,,7
342,R Shukla,8/28/1990,2,1,1
343,B Laughlin,10/3/1982,2,3,5
344,AS Rajpoot,12/4/1993,2,1,1
345,M Vohra,7/18/1993,2,1,1
346,JD Unadkat,10/18/1991,2,13,1
347,Mohammed Shami,9/3/1990,2,3,1
348,BMAJ Mendis,1/15/1983,1,10,7
349,R Rampaul,10/15/1984,1,3,8
350,CH Morris,4/30/1987,2,3,2
351,SV Samson,11/11/1994,2,,1
352,SMSM Senanayake,2/9/1985,2,2,7
353,BJ Rohrer,3/26/1981,1,,5
354,KL Rahul,4/18/1992,2,,1
355,Q de Kock,12/17/1992,1,,2
356,R Dhawan,2/19/1990,2,5,1
357,MG Johnson,11/2/1981,1,14,5
358,LJ Wright,3/7/1985,2,5,10
359,IC Pandey,8/15/1989,2,1,1
360,CM Gautam,3/8/1986,2,,1
361,X Thalaivan Sargunam,5/15/1985,2,2,1
362,DJG Sammy,12/20/1983,2,5,8
363,KW Richardson,2/12/1991,2,3,5
364,MM Sharma,9/18/1988,2,1,1
365,UA Birla,11/17/1989,2,1,1
366,Parvez Rasool,2/13/1989,2,2,1
367,Sandeep Sharma,5/18/1993,2,1,1
368,S Kaul,5/19/1990,2,1,1
369,Sachin Baby,12/18/1988,1,2,1
370,PV Tambe,10/8/1971,2,10,1
371,NM Coulter-Nile,10/11/1987,2,11,5
372,CJ Anderson,12/13/1990,1,9,4
373,NJ Maddinson,12/21/1991,1,7,5
374,AR Patel,1/20/1994,1,7,1
375,JJ Bumrah,12/6/1993,2,1,1
376,JDS Neesham,9/17/1990,1,1,4
377,TG Southee,12/11/1988,2,5,4
378,MA Starc,1/30/1990,1,14,5
379,BR Dunk,3/11/1987,1,,5
380,RR Rossouw,10/9/1989,1,2,2
381,Shivam Sharma,9/9/1993,2,2,1
382,YS Chahal,7/23/1990,2,4,1
383,LMP Simmons,1/25/1985,2,5,8
384,VH Zol,11/23/1994,1,2,1
385,BCJ Cutting,1/30/1987,2,3,5
386,Imran Tahir,3/27/1979,2,4,1
387,BE Hendricks,6/8/1990,1,6,2
388,S Gopal,9/4/1993,2,10,1
389,M de Lange,10/13/1990,2,11,2
390,R Tewatia,5/20/1993,1,10,1
391,JO Holder,11/5/1991,2,5,8
392,Karanveer Singh,11/8/1987,2,4,1
393,SS Iyer,12/6/1994,2,4,1
394,DJ Hooda,4/19/1995,2,2,1
395,Anureet Singh,3/2/1988,2,1,1
396,KS Williamson,8/8/1990,2,2,4
397,SA Abbott,2/29/1992,2,3,4
398,J Suchith,1/16/1994,1,7,1
399,RG More,2/2/1992,2,1,1
400,HH Pandya,10/11/1993,2,5,1
401,D Wiese,5/18/1985,2,5,2
402,SN Khan,10/27/1997,2,10,1
403,MJ McClenaghan,6/11/1986,1,6,4
404,DJ Muthuswami,3/9/1981,2,1,1
405,PJ Cummins,5/8/1993,2,11,5
406,SN Thakur,10/16/1991,2,1,1
407,JC Buttler,9/8/1990,2,,10
408,CR Brathwaite,7/18/1988,2,3,8
409,MP Stoinis,8/16/1989,2,1,5
410,Ishan Kishan,7/18/1998,1,,1
411,C Munro,3/11/1987,1,5,4
412,P Sahu,8/21/1985,2,4,1
413,KH Pandya,3/24/1991,1,7,1
414,AD Nath,5/10/1993,2,5,1
415,MJ Guptill,9/30/1986,2,2,4
416,KJ Abbott,6/18/1987,2,3,2
417,TM Head,12/29/1993,1,2,5
418,M Ashwin,9/8/1990,2,4,1
419,NS Naik,11/9/1994,2,,1
420,RR Pant,10/4/1997,1,,1
421,SW Billings,6/15/1991,2,,10
422,KC Cariappa,4/13/1994,2,10,1
423,PSP Handscomb,4/26/1991,2,,5
424,Swapnil Singh,1/22/1991,2,7,1
425,J Yadav,1/22/1990,2,2,1
426,UT Khawaja,12/18/1986,1,1,5
427,HM Amla,3/31/1983,2,2,2
428,F Behardien,10/9/1983,2,3,2
429,BB Sran,12/10/1992,1,13,1
430,A Zampa,3/31/1992,2,4,5
431,N Rana,12/27/1993,1,2,1
432,S Kaushik,9/7/1995,2,8,1
433,ER Dwivedi,7/22/1988,2,,1
434,CJ Jordan,10/4/1988,2,3,10
435,P Amarnath,6/1/1982,2,1,1
436,B Geeves,6/13/1982,2,3,5
437,Gagandeep Singh,10/3/1981,2,5,1
438,A Nel,7/15/1977,2,3,2
439,AM Salvi,10/20/1981,2,1,1
440,RR Bose,2/27/1979,2,3,1
441,SS Sarkar,12/15/1984,2,1,1
442,RA Shaikh,6/12/1985,1,13,1
443,C Ganapathy,6/10/1981,2,1,1
444,MB Parmar,4/12/1988,2,2,1
445,AA Kazi,9/29/1989,1,7,1
446,Anand Rajan,4/17/1987,2,1,1
447,P Prasanth,5/22/1985,1,7,1
448,SS Mundhe,10/27/1988,2,1,1
449,RW Price,6/12/1976,2,7,9
450,TP Sudhindra,4/24/1984,1,11,1
451,BW Hilfenhaus,3/15/1983,2,3,5
452,S Badree,3/9/1981,2,10,8
453,P Suyal,10/15/1989,2,13,1
454,MG Neser,3/29/1990,2,1,5
455,V Shankar,1/26/1991,2,1,1
456,K Santokie,12/20/1984,1,13,8
457,JW Hastings,11/4/1985,2,3,5
458,TA Boult,7/22/1989,2,6,4
459,GS Sandhu,6/14/1993,1,3,5
460,Mustafizur Rahman,9/6/1995,1,6,11
461,AF Milne,4/13/1992,2,11,4
462,Kuldeep Yadav,12/14/1994,1,8,1
463,T Shamsi,2/18/1990,2,8,2
464,SM Boland,4/11/1989,2,3,5
465,DL Chahar,8/7/1992,2,1,1
466,P Dharmani,9/27/1974,2,,1
467,RV Pawar,9/6/1979,1,7,1
468,KH Devdhar,12/14/1989,2,,1
469,T Mishra,12/22/1986,2,3,1
